nodo,id,tipo,manifiestos,empresa
COBUN,677,PUERTO,229,None
COCLO,678,PUERTO,3,None
COCTG,679,PUERTO,106,None
COMDE,680,PUERTO,1,None
COSMR,681,PUERTO,10,None
COTRB,682,PUERTO,2,None
CRCAL,683,PUERTO,197,None
CRCAR,684,PUERTO,3,None
CRHER,685,PUERTO,22,None
CRLIO,686,PUERTO,25,None
CRMOB,687,PUERTO,22,None
CRPAS,688,PUERTO,2,None
CRSJO,689,PUERTO,103,None
CUMAR,690,PUERTO,37,None
CUSCU,691,PUERTO,2,None
CVMIN,692,PUERTO,4,None
CVRAI,693,PUERTO,1,None
CYLMS,694,PUERTO,20,None
CZDCB,695,PUERTO,15,None
CZLBR,696,PUERTO,1,None
CZPRG,697,PUERTO,10,None
CZZLN,698,PUERTO,5,None
DEBER,699,PUERTO,1,None
DEBRE,700,PUERTO,21,None
DEBRV,701,PUERTO,71,None
DEDUI,702,PUERTO,2,None
DEDUS,703,PUERTO,1,None
DEEBR,704,PUERTO,1,None
DEFRA,705,PUERTO,1,None
DEGOS,706,PUERTO,19,None
DEGRV,707,PUERTO,2,None
DEHAM,708,PUERTO,175,None
DEHEN,709,PUERTO,1,None
DEISE,710,PUERTO,11,None
DELEJ,711,PUERTO,1,None
DEMEE,712,PUERTO,11,None
DEMUC,713,PUERTO,4,None
DESTR,714,PUERTO,1,None
DETAE,715,PUERTO,1,None
DJJIB,716,PUERTO,1,None
DKAAL,717,PUERTO,3,None
DKAAR,718,PUERTO,74,None
DKCPH,719,PUERTO,40,None
DKEBJ,720,PUERTO,1,None
DKFRC,721,PUERTO,16,None
DKKAL,722,PUERTO,2,None
DKLLS,723,PUERTO,16,None
DMRSU,724,PUERTO,5,None
DOBCC,725,PUERTO,1,None
DOCAU,726,PUERTO,165,None
DOHAI,727,PUERTO,59,None
DOSDQ,728,PUERTO,21,None
DZALG,729,PUERTO,18,None
DZMOS,730,PUERTO,1,None
DZORN,731,PUERTO,2,None
DZSKI,732,PUERTO,2,None
ECGYE,733,PUERTO,287,None
ECMCH,734,PUERTO,5,None
ECMEC,735,PUERTO,9,None
ECPBO,736,PUERTO,3,None
EETLL,737,PUERTO,26,None
EGALY,738,PUERTO,16,None
EGDAM,739,PUERTO,12,None
EGEDK,740,PUERTO,10,None
EGPSD,741,PUERTO,8,None
ERMSW,742,PUERTO,1,None
ESAGP,743,PUERTO,44,None
ESALC,744,PUERTO,4,None
ESALG,745,PUERTO,158,None
ESAVS,746,PUERTO,7,None
ESBCN,747,PUERTO,160,None
ESBIO,748,PUERTO,95,None
ESCAD,749,PUERTO,2,None
ESCAR,750,PUERTO,16,None
ESCAS,751,PUERTO,2,None
ESGIJ,752,PUERTO,20,None
ESHUV,753,PUERTO,1,None
ESLEI,754,PUERTO,1,None
ESLPA,755,PUERTO,16,None
ESMAD,756,PUERTO,26,None
ESMPG,757,PUERTO,36,None
ESSCT,758,PUERTO,3,None
ESSVQ,759,PUERTO,1,None
ESTAR,760,PUERTO,2,None
ESTRJ,761,PUERTO,11,None
ESUTO,762,PUERTO,1,None
ESVGO,763,PUERTO,122,None
ESVLC,764,PUERTO,162,None
FIHEL,765,PUERTO,47,None
FIKTK,766,PUERTO,16,None
FIPOR,767,PUERTO,1,None
FIRAU,768,PUERTO,4,None
FRBAS,769,PUERTO,2,None
FRBES,770,PUERTO,4,None
FRBOL,771,PUERTO,4,None
FRCEQ,772,PUERTO,1,None
FRCOU,773,PUERTO,1,None
FRDKK,774,PUERTO,20,None
FRFOS,775,PUERTO,82,None
FRGEN,776,PUERTO,3,None
FRLEH,777,PUERTO,132,None
FRLIO,778,PUERTO,1,None
FRMEI,779,PUERTO,1,None
FRMRS,780,PUERTO,22,None
FRMTX,781,PUERTO,14,None
FRNTE,782,PUERTO,1,None
FRPAR,783,PUERTO,4,None
FRSBG,784,PUERTO,6,None
FRSEN,785,PUERTO,2,None
FRTHO,786,PUERTO,12,None
FRYGS,787,PUERTO,3,None
GALBV,788,PUERTO,3,None
GBBEL,789,PUERTO,12,None
GBBKG,790,PUERTO,1,None
GBBOS,791,PUERTO,3,None
GBBRF,792,PUERTO,8,None
GBBSE,793,PUERTO,7,None
GBCHD,794,PUERTO,2,None
GBCNF,795,PUERTO,1,None
GBCRK,796,PUERTO,1,None
GBDFD,797,PUERTO,1,None
GBFXT,798,PUERTO,59,None
GBGAT,799,PUERTO,1,None
GBGIR,800,PUERTO,1,None
GBGRG,801,PUERTO,7,None
GBIMM,802,PUERTO,19,None
GBKLN,803,PUERTO,1,None
GBLGP,804,PUERTO,125,None
GBLIV,805,PUERTO,12,None
GBLON,806,PUERTO,37,None
GBMLF,807,PUERTO,16,None
GBMNC,808,PUERTO,2,None
GBNWK,809,PUERTO,1,None
GBPKL,810,PUERTO,26,None
GBRTH,811,PUERTO,1,None
GBSKI,812,PUERTO,1,None
GBSOU,813,PUERTO,80,None
GBSSH,814,PUERTO,2,None
GBTEE,815,PUERTO,6,None
GBTIL,816,PUERTO,7,None
GBWAL,817,PUERTO,21,None
GBWTR,818,PUERTO,1,None
GDSTG,819,PUERTO,8,None
GEPTI,820,PUERTO,22,None
GFDDC,821,PUERTO,3,None
GHACC,822,PUERTO,1,None
GHTEM,823,PUERTO,62,None
GMBJL,824,PUERTO,7,None
GNCKY,825,PUERTO,7,None
GPPTP,826,PUERTO,38,None
GQBSG,827,PUERTO,1,None
GQSSG,828,PUERTO,1,None
GRPIR,829,PUERTO,70,None
GRSKG,830,PUERTO,36,None
GTAMA,831,PUERTO,4,None
GTGUA,832,PUERTO,88,None
GTPBR,833,PUERTO,13,None
GTPRQ,834,PUERTO,285,None
GTSNJ,835,PUERTO,1,None
GTSTC,836,PUERTO,27,None
GTVIN,837,PUERTO,17,None
GYGEO,838,PUERTO,41,None
HKHKG,839,PUERTO,217,None
HNCHO,840,PUERTO,2,None
HNPCR,841,PUERTO,163,None
HNSAP,842,PUERTO,63,None
HNSLO,843,PUERTO,26,None
HNTGU,844,PUERTO,13,None
HRPLE,845,PUERTO,3,None
HRRJK,846,PUERTO,9,None
HTCAP,847,PUERTO,25,None
HTPAP,848,PUERTO,136,None
HUBUD,849,PUERTO,8,None
IDBLW,850,PUERTO,22,None
IDBTM,851,PUERTO,32,None
IDJKT,852,PUERTO,51,None
IDSRG,853,PUERTO,3,None
IDSUB,854,PUERTO,30,None
IEDUB,855,PUERTO,65,None
IEORK,856,PUERTO,2,None
IEWES,857,PUERTO,2,None
ILASH,858,PUERTO,64,None
ILHFA,859,PUERTO,27,None
INAMD,860,PUERTO,6,None
INBOM,861,PUERTO,1,None
INCCU,862,PUERTO,18,None
INCOK,863,PUERTO,5,None
INDAM,864,PUERTO,1,None
INDEL,865,PUERTO,7,None
INENR,866,PUERTO,24,None
INHAL,867,PUERTO,3,None
INIXE,868,PUERTO,1,None
INIXU,869,PUERTO,2,None
INJAI,870,PUERTO,12,None
INKAT,871,PUERTO,1,None
INKNU,872,PUERTO,1,None
INLUH,873,PUERTO,12,None
INMAA,874,PUERTO,31,None
INMOR,875,PUERTO,1,None
INMUN,876,PUERTO,83,None
INNML,877,PUERTO,1,None
INNSA,878,PUERTO,141,None
INTKD,879,PUERTO,2,None
INTRP,880,PUERTO,27,None
INTUT,881,PUERTO,5,None
INVTZ,882,PUERTO,1,None
IQUQR,883,PUERTO,26,None
ISREY,884,PUERTO,11,None
ITAOI,885,PUERTO,20,None
ITBIE,886,PUERTO,10,None
ITBRI,887,PUERTO,16,None
ITCAG,888,PUERTO,2,None
ITCTA,889,PUERTO,3,None
ITCVV,890,PUERTO,28,None
ITGIT,891,PUERTO,28,None
ITGOA,892,PUERTO,89,None
ITLIV,893,PUERTO,98,None
ITMIL,894,PUERTO,20,None
ITMSN,895,PUERTO,4,None
ITMTA,896,PUERTO,12,None
ITNAP,897,PUERTO,78,None
ITPMO,898,PUERTO,3,None
ITPZL,899,PUERTO,2,None
ITRIV,900,PUERTO,4,None
ITROM,901,PUERTO,1,None
ITSAL,902,PUERTO,31,None
ITSPE,903,PUERTO,36,None
ITSTT,904,PUERTO,10,None
ITTPS,905,PUERTO,1,None
ITTRS,906,PUERTO,19,None
ITVCE,907,PUERTO,33,None
ITVDL,908,PUERTO,22,None
ITVIC,909,PUERTO,1,None
ITVRN,910,PUERTO,1,None
JMKIN,911,PUERTO,98,None
JOAQB,912,PUERTO,7,None
JOAQJ,913,PUERTO,19,None
JPHHE,914,PUERTO,12,None
JPHIJ,915,PUERTO,3,None
JPHIS,916,PUERTO,4,None
JPHKT,917,PUERTO,25,None
JPIMB,918,PUERTO,1,None
JPIMI,919,PUERTO,2,None
JPKIJ,920,PUERTO,4,None
JPMIZ,921,PUERTO,7,None
JPMOJ,922,PUERTO,59,None
JPNGO,923,PUERTO,81,None
JPOIT,924,PUERTO,3,None
JPONA,925,PUERTO,3,None
JPOSA,926,PUERTO,60,None
JPSBS,927,PUERTO,21,None
JPSDJ,928,PUERTO,22,None
JPSEN,929,PUERTO,7,None
JPSGM,930,PUERTO,2,None
JPSMZ,931,PUERTO,2,None
JPTMK,932,PUERTO,15,None
JPTOS,933,PUERTO,5,None
JPTRG,934,PUERTO,2,None
JPTYO,935,PUERTO,140,None
JPUKB,936,PUERTO,85,None
JPYOK,937,PUERTO,156,None
KEEMB,938,PUERTO,1,None
KEMBA,939,PUERTO,6,None
KHKOS,940,PUERTO,5,None
KNBAS,941,PUERTO,9,None
KNNEV,942,PUERTO,3,None
KRINC,943,PUERTO,77,None
KRKAN,944,PUERTO,31,None
KRONS,945,PUERTO,11,None
KRPUS,946,PUERTO,301,None
KRSCP,947,PUERTO,1,None
KRUSN,948,PUERTO,8,None
KRYOS,949,PUERTO,1,None
KWKWI,950,PUERTO,1,None
KWSWK,951,PUERTO,28,None
KYGEC,952,PUERTO,2,None
LBBEY,953,PUERTO,31,None
LBKYE,954,PUERTO,4,None
LCCAS,955,PUERTO,39,None
LKCMB,956,PUERTO,1,None
LRMLW,957,PUERTO,20,None
LTKLJ,958,PUERTO,72,None
LTVNO,959,PUERTO,1,None
LVRIX,960,PUERTO,38,None
LYKHO,961,PUERTO,1,None
LYMRA,962,PUERTO,4,None
LYTIP,963,PUERTO,1,None
MAAGA,964,PUERTO,17,None
MACAS,965,PUERTO,43,None
MATNG,966,PUERTO,1,None
MEBAR,967,PUERTO,1,None
MMRGN,968,PUERTO,14,None
MQFDF,969,PUERTO,30,None
MRNKC,970,PUERTO,2,None
MTMAR,971,PUERTO,4,None
MTMLA,972,PUERTO,2,None
MUPLU,973,PUERTO,12,None
MXAGU,974,PUERTO,1,None
MXATM,975,PUERTO,26,None
MXESE,976,PUERTO,69,None
MXGDL,977,PUERTO,17,None
MXGUA,978,PUERTO,2,None
MXGYM,979,PUERTO,21,None
MXLAP,980,PUERTO,1,None
MXLZC,981,PUERTO,115,None
MXMEX,982,PUERTO,66,None
MXMTY,983,PUERTO,23,None
MXMXL,984,PUERTO,6,None
MXMZT,985,PUERTO,37,None
MXPBC,986,PUERTO,1,None
MXPGO,987,PUERTO,20,None
MXSLP,988,PUERTO,2,None
MXSLW,989,PUERTO,7,None
MXTIJ,990,PUERTO,5,None
MXTLC,991,PUERTO,1,None
MXTPR,992,PUERTO,4,None
MXVER,993,PUERTO,120,None
MXZLO,994,PUERTO,285,None
MYJHB,995,PUERTO,1,None
MYPEN,996,PUERTO,6,None
MYPGU,997,PUERTO,49,None
MYPKG,998,PUERTO,116,None
MYSDK,999,PUERTO,1,None
MYTPP,1000,PUERTO,38,None
MYTWU,1001,PUERTO,1,None
MZBEW,1002,PUERTO,2,None
MZMNC,1003,PUERTO,2,None
MZMPM,1004,PUERTO,2,None
NAWVB,1005,PUERTO,5,None
NCNOU,1006,PUERTO,5,None
NGAPP,1007,PUERTO,36,None
NGONN,1008,PUERTO,10,None
NGPHC,1009,PUERTO,1,None
NGTIN,1010,PUERTO,1,None
NICIO,1011,PUERTO,184,None
NIMGA,1012,PUERTO,57,None
NLAMS,1013,PUERTO,48,None
NLBON,1014,PUERTO,2,None
NLHRD,1015,PUERTO,1,None
NLMOE,1016,PUERTO,13,None
NLRTM,1017,PUERTO,262,None
NLTLB,1018,PUERTO,1,None
NLVEL,1019,PUERTO,1,None
NLVLI,1020,PUERTO,1,None
NLWIS,1021,PUERTO,10,None
NOAES,1022,PUERTO,4,None
NOBGO,1023,PUERTO,14,None
NOFRK,1024,PUERTO,5,None
NOHAU,1025,PUERTO,8,None
NOKRS,1026,PUERTO,1,None
NOLAR,1027,PUERTO,4,None
NOOSL,1028,PUERTO,31,None
NOSVG,1029,PUERTO,1,None
NOTAE,1030,PUERTO,23,None
NZAKL,1031,PUERTO,55,None
NZBLU,1032,PUERTO,1,None
NZLYT,1033,PUERTO,10,None
NZMKL,1034,PUERTO,12,None
NZNPE,1035,PUERTO,11,None
NZNPL,1036,PUERTO,6,None
NZNSN,1037,PUERTO,3,None
NZTRG,1038,PUERTO,51,None
NZWLG,1039,PUERTO,1,None
OMMCT,1040,PUERTO,1,None
OMSOH,1041,PUERTO,17,None
PABLB,1042,PUERTO,197,None
PACFZ,1043,PUERTO,9,None
PACTB,1044,PUERTO,38,None
PAONX,1045,PUERTO,53,None
PAPTY,1046,PUERTO,29,None
PAROD,1047,PUERTO,114,None
PEZZD,1048,PUERTO,22,None
PFPPT,1049,PUERTO,5,None
PGLAE,1050,PUERTO,1,None
PGPOM,1051,PUERTO,1,None
PHBTG,1052,PUERTO,6,None
PHCEB,1053,PUERTO,4,None
PHDVO,1054,PUERTO,3,None
PHISL,1055,PUERTO,1,None
PHMNL,1056,PUERTO,31,None
PHMNN,1057,PUERTO,6,None
PKBQM,1058,PUERTO,2,None
PKKHI,1059,PUERTO,30,None
PLGDN,1060,PUERTO,24,None
PLGDY,1061,PUERTO,77,None
PLSZZ,1062,PUERTO,27,None
PRSJU,1063,PUERTO,153,None
PTAGU,1064,PUERTO,4,None
PTBBL,1065,PUERTO,3,None
PTLEI,1066,PUERTO,69,None
PTLIS,1067,PUERTO,35,None
PTMAT,1068,PUERTO,3,None
PTOLI,1069,PUERTO,6,None
PTSET,1070,PUERTO,3,None
PTSIE,1071,PUERTO,48,None
PYASU,1072,PUERTO,69,None
PYBCM,1073,PUERTO,1,None
PYSAN,1074,PUERTO,3,None
PYVLL,1075,PUERTO,15,None
QADOH,1076,PUERTO,4,None
QAHMD,1077,PUERTO,9,None
REPDG,1078,PUERTO,6,None
ROBBU,1079,PUERTO,1,None
ROBUH,1080,PUERTO,5,None
ROCND,1081,PUERTO,44,None
RULED,1082,PUERTO,46,None
RUNVS,1083,PUERTO,22,None
RUVVO,1084,PUERTO,16,None
SADMM,1085,PUERTO,18,None
SAJED,1086,PUERTO,62,None
SAKAC,1087,PUERTO,8,None
SARUH,1088,PUERTO,3,None
SEGOT,1089,PUERTO,62,None
SEGVX,1090,PUERTO,9,None
SEHEL,1091,PUERTO,33,None
SENRK,1092,PUERTO,18,None
SESOE,1093,PUERTO,2,None
SESTO,1094,PUERTO,17,None
SGAYC,1095,PUERTO,1,None
SGSIN,1096,PUERTO,86,None
SIKOP,1097,PUERTO,17,None
SKBAB,1098,PUERTO,1,None
SLFNA,1099,PUERTO,2,None
SNDKR,1100,PUERTO,8,None
SNXLS,1101,PUERTO,1,None
SRPBM,1102,PUERTO,41,None
SVAQJ,1103,PUERTO,234,None
SVLLD,1104,PUERTO,23,None
SVSAL,1105,PUERTO,47,None
SXPHI,1106,PUERTO,11,None
TCPLS,1107,PUERTO,3,None
TGLFW,1108,PUERTO,13,None
THBKK,1109,PUERTO,120,None
THLCH,1110,PUERTO,147,None
THLKR,1111,PUERTO,90,None
THSGZ,1112,PUERTO,7,None
TNRDS,1113,PUERTO,1,None
TNTUN,1114,PUERTO,9,None
TRALI,1115,PUERTO,30,None
TRAMB,1116,PUERTO,11,None
TRANK,1117,PUERTO,1,None
TRGEB,1118,PUERTO,32,None
TRGEM,1119,PUERTO,6,None
TRISK,1120,PUERTO,3,None
TRIST,1121,PUERTO,55,None
TRIZM,1122,PUERTO,7,None
TRIZT,1123,PUERTO,14,None
TRMER,1124,PUERTO,47,None
TRTEK,1125,PUERTO,6,None
TTPOS,1126,PUERTO,36,None
TTPTS,1127,PUERTO,100,None
TWKEL,1128,PUERTO,128,None
TWKHH,1129,PUERTO,185,None
TWTPE,1130,PUERTO,7,None
TWTXG,1131,PUERTO,30,None
TWTYN,1132,PUERTO,1,None
TZDAR,1133,PUERTO,3,None
UAODS,1134,PUERTO,1,None
UGKLA,1135,PUERTO,1,None
USAAI,1136,PUERTO,3,None
USATL,1137,PUERTO,73,None
USAUC,1138,PUERTO,1,None
USAVP,1139,PUERTO,3,None
USAWM,1140,PUERTO,1,None
USBAL,1141,PUERTO,235,None
USBDI,1142,PUERTO,3,None
USBKU,1143,PUERTO,2,None
USBNA,1144,PUERTO,5,None
USBOS,1145,PUERTO,38,None
USBOY,1146,PUERTO,38,None
USBPK,1147,PUERTO,1,None
USBQP,1148,PUERTO,2,None
USBRJ,1149,PUERTO,1,None
USBSN,1150,PUERTO,1,None
USBUF,1151,PUERTO,3,None
USCAE,1152,PUERTO,1,None
USCBW,1153,PUERTO,1,None
USCDV,1154,PUERTO,2,None
USCDX,1155,PUERTO,1,None
USCGH,1156,PUERTO,1,None
USCHA,1157,PUERTO,1,None
USCHI,1158,PUERTO,158,None
USCHS,1159,PUERTO,120,None
USCLE,1160,PUERTO,37,None
USCLT,1161,PUERTO,17,None
USCLU,1162,PUERTO,10,None
USCMH,1163,PUERTO,23,None
USCOG,1164,PUERTO,1,None
USCQU,1165,PUERTO,1,None
USCRC,1166,PUERTO,1,None
USCRQ,1167,PUERTO,4,None
USCRW,1168,PUERTO,1,None
USCRX,1169,PUERTO,25,None
USCST,1170,PUERTO,1,None
USCTC,1171,PUERTO,2,None
USCUS,1172,PUERTO,1,None
USCVD,1173,PUERTO,1,None
USCVG,1174,PUERTO,16,None
USDAL,1175,PUERTO,4,None
USDAY,1176,PUERTO,1,None
USDEN,1177,PUERTO,23,None
USDET,1178,PUERTO,20,None
USDFW,1179,PUERTO,5,None
USEAU,1180,PUERTO,2,None
USEGN,1181,PUERTO,2,None
USELP,1182,PUERTO,2,None
USESL,1183,PUERTO,6,None
USEWR,1184,PUERTO,127,None
USFAH,1185,PUERTO,3,None
USFAR,1186,PUERTO,1,None
USFEM,1187,PUERTO,1,None
USFLI,1188,PUERTO,1,None
USFLL,1189,PUERTO,1,None
USFRR,1190,PUERTO,1,None
USGLS,1191,PUERTO,1,None
USGOI,1192,PUERTO,1,None
USGPT,1193,PUERTO,4,None
USGXX,1194,PUERTO,1,None
USHAM,1195,PUERTO,1,None
USHEE,1196,PUERTO,1,None
USHIQ,1197,PUERTO,1,None
USHLF,1198,PUERTO,4,None
USHNL,1199,PUERTO,12,None
USHOU,1200,PUERTO,319,None
USHQN,1201,PUERTO,1,None
USHSM,1202,PUERTO,4,None
USHSO,1203,PUERTO,22,None
USHUL,1204,PUERTO,1,None
USILG,1205,PUERTO,20,None
USILM,1206,PUERTO,4,None
USIND,1207,PUERTO,8,None
USITO,1208,PUERTO,6,None
USJAN,1209,PUERTO,2,None
USJAX,1210,PUERTO,46,None
USJFK,1211,PUERTO,2,None
USJOT,1212,PUERTO,1,None
USKCK,1213,PUERTO,7,None
USKWH,1214,PUERTO,9,None
USLAO,1215,PUERTO,1,None
USLAX,1216,PUERTO,283,None
USLDN,1217,PUERTO,1,None
USLDR,1218,PUERTO,1,None
USLGB,1219,PUERTO,3,None
USLNS,1220,PUERTO,1,None
USLRD,1221,PUERTO,2,None
USLUE,1222,PUERTO,4,None
USLUI,1223,PUERTO,15,None
USLVG,1224,PUERTO,1,None
USLWV,1225,PUERTO,1,None
USLXG,1226,PUERTO,2,None
USMBY,1227,PUERTO,1,None
USMDY,1228,PUERTO,2,None
USMEG,1229,PUERTO,1,None
USMEM,1230,PUERTO,23,None
USMES,1231,PUERTO,5,None
USMGJ,1232,PUERTO,2,None
USMIA,1233,PUERTO,118,None
USMIN,1234,PUERTO,1,None
USMKC,1235,PUERTO,15,None
USMKE,1236,PUERTO,1,None
USMOB,1237,PUERTO,52,None
USMRP,1238,PUERTO,2,None
USMSH,1239,PUERTO,1,None
USMSP,1240,PUERTO,30,None
USMSQ,1241,PUERTO,2,None
USMSY,1242,PUERTO,185,None
USMVO,1243,PUERTO,1,None
USMXI,1244,PUERTO,2,None
USNEK,1245,PUERTO,4,None
USNHZ,1246,PUERTO,1,None
USNKQ,1247,PUERTO,2,None
USNNY,1248,PUERTO,5,None
USNOR,1249,PUERTO,7,None
USNSH,1250,PUERTO,9,None
USNTD,1251,PUERTO,50,None
USNTS,1252,PUERTO,28,None
USNWG,1253,PUERTO,1,None
USNWJ,1254,PUERTO,1,None
USNWK,1255,PUERTO,48,None
USNWL,1256,PUERTO,1,None
USNXV,1257,PUERTO,1,None
USNYC,1258,PUERTO,282,None
USNYQ,1259,PUERTO,1,None
USOAC,1260,PUERTO,1,None
USOAK,1261,PUERTO,215,None
USOFK,1262,PUERTO,1,None
USOGG,1263,PUERTO,9,None
USOKC,1264,PUERTO,1,None
USOKD,1265,PUERTO,7,None
USOLI,1266,PUERTO,4,None
USOLU,1267,PUERTO,12,None
USOMA,1268,PUERTO,1,None
USOPL,1269,PUERTO,1,None
USORF,1270,PUERTO,187,None
USORH,1271,PUERTO,16,None
USORL,1272,PUERTO,2,None
USORP,1273,PUERTO,1,None
USPAY,1274,PUERTO,1,None
USPBG,1275,PUERTO,3,None
USPCD,1276,PUERTO,1,None
USPDX,1277,PUERTO,3,None
USPEF,1278,PUERTO,254,None
USPFN,1279,PUERTO,1,None
USPHI,1280,PUERTO,4,None
USPHL,1281,PUERTO,274,None
USPHX,1282,PUERTO,17,None
USPIE,1283,PUERTO,1,None
USPIJ,1284,PUERTO,1,None
USPIT,1285,PUERTO,11,None
USPQU,1286,PUERTO,1,None
USPTQ,1287,PUERTO,1,None
USPTW,1288,PUERTO,1,None
USRAH,1289,PUERTO,3,None
USRCH,1290,PUERTO,5,None
USRDU,1291,PUERTO,1,None
USRIC,1292,PUERTO,18,None
USRWI,1293,PUERTO,1,None
USSAN,1294,PUERTO,2,None
USSAV,1295,PUERTO,285,None
USSBC,1296,PUERTO,1,None
USSBT,1297,PUERTO,5,None
USSEA,1298,PUERTO,96,None
USSEH,1299,PUERTO,1,None
USSFB,1300,PUERTO,1,None
USSFO,1301,PUERTO,8,None
USSFZ,1302,PUERTO,5,None
USSGF,1303,PUERTO,1,None
USSKE,1304,PUERTO,1,None
USSLC,1305,PUERTO,19,None
USSLX,1306,PUERTO,5,None
USSMT,1307,PUERTO,5,None
USSOM,1308,PUERTO,1,None
USSPG,1309,PUERTO,1,None
USSRU,1310,PUERTO,1,None
USSSK,1311,PUERTO,1,None
USSTL,1312,PUERTO,26,None
USTEO,1313,PUERTO,1,None
USTNS,1314,PUERTO,2,None
USTPA,1315,PUERTO,1,None
USTUL,1316,PUERTO,1,None
USTUS,1317,PUERTO,2,None
USTXT,1318,PUERTO,3,None
USTYS,1319,PUERTO,1,None
USUAC,1320,PUERTO,1,None
USUAP,1321,PUERTO,1,None
USUES,1322,PUERTO,2,None
USUFG,1323,PUERTO,5,None
USUFS,1324,PUERTO,1,None
USVCO,1325,PUERTO,1,None
USWAM,1326,PUERTO,22,None
USWAS,1327,PUERTO,4,None
USWCL,1328,PUERTO,3,None
USWGP,1329,PUERTO,1,None
USWMD,1330,PUERTO,3,None
USWOM,1331,PUERTO,2,None
USWQG,1332,PUERTO,3,None
USXAZ,1333,PUERTO,2,None
USXEX,1334,PUERTO,1,None
USXMX,1335,PUERTO,11,None
UYMVD,1336,PUERTO,142,None
UZTAS,1337,PUERTO,1,None
VCCRP,1338,PUERTO,15,None
VELAG,1339,PUERTO,149,None
VEMAR,1340,PUERTO,15,None
VEPBL,1341,PUERTO,120,None
VGRAD,1342,PUERTO,3,None
VGTOV,1343,PUERTO,1,None
VGVIJ,1344,PUERTO,1,None
VNDAD,1345,PUERTO,9,None
VNHCH,1346,PUERTO,1,None
VNHPH,1347,PUERTO,140,None
VNSGN,1348,PUERTO,67,None
VNVUT,1349,PUERTO,4,None
ZACPT,1350,PUERTO,36,None
ZADUR,1351,PUERTO,78,None
ZAJNB,1352,PUERTO,3,None
ZAPLZ,1353,PUERTO,4,None
ZAZBA,1354,PUERTO,14,None
ZMKIW,1355,PUERTO,1,None
